player_mid,player_name,position_id,team_name,fixture_year,total_carry_metres_post_contact,total_ballinplay_minutes,total_att_minutes,total_def_minutes,total_kick_errors,total_ruck_arrivals_attack_first2,total_ruck_arrivals_defence_first2,total_minutes_played,total_tries,total_linebreaks,total_supported_breaks,total_defenders_beaten,total_jackals_success,total_intercepts,total_tackles_made,total_tackles_missed,total_offloads,total_carries,total_carry_metres,total_carries_dominant,total_turnovers_conceded,total_penalties_conceded,total_rucks_won,total_rucks_lost
cd1b2fff-50eb-4735-8b57-49a381fcbf15,AJ Lam,14,Blues,2024,47,35,17,18,0,0,0,80,1,2,0,3,1,0,5,0,1,5,71,4,2,0,1,0
cd1b2fff-50eb-4735-8b57-49a381fcbf15,AJ Lam,12,Blues,2024,12,38,18,18,0,0,0,83,0,0,0,1,0,0,10,2,0,5,7,2,1,0,5,0
cd1b2fff-50eb-4735-8b57-49a381fcbf15,AJ Lam,13,Blues,2024,157,183,105,79,1,9,0,411,1,6,1,13,0,0,37,10,3,30,177,10,5,2,23,0
cd1b2fff-50eb-4735-8b57-49a381fcbf15,AJ Lam,11,Blues,2024,41,84,41,41,0,0,0,175,2,2,2,3,0,0,19,1,2,16,77,8,1,1,12,0
dd720487-72d3-40d3-a21c-b7b99ea95b70,Abraham Pole,1,Moana Pasifika,2024,113,334,160,174,0,1,1,786,3,1,1,7,0,0,98,15,1,62,92,18,2,12,53,1
a39f3280-7ac5-4603-a480-da79f5c903ab,Adrian Choat,4,Blues,2024,6,10,5,5,0,0,0,16,0,0,0,0,0,0,3,0,0,3,4,2,0,1,3,0
a39f3280-7ac5-4603-a480-da79f5c903ab,Adrian Choat,7,Blues,2024,10,88,42,45,0,0,0,175,0,0,0,2,0,0,46,5,1,18,41,4,0,1,17,0
a39f3280-7ac5-4603-a480-da79f5c903ab,Adrian Choat,6,Blues,2024,56,81,44,40,0,0,2,186,0,0,0,2,2,1,18,0,0,25,55,2,0,2,23,1
0e33b2f8-97f1-4931-bfc7-49f8732d965c,Aidan Morgan,10,Hurricanes,2024,31,105,46,58,3,0,0,230,0,0,1,5,0,0,25,5,3,23,152,5,7,2,10,1
bf191b89-eae1-4bef-8f3e-7ee4612d61a6,Aidan Ross,1,Chiefs,2024,54,237,116,119,0,7,1,541,1,0,0,1,0,0,95,7,0,31,26,10,2,8,29,1
c504a24a-88c8-4bb6-818b-326f4fc2f578,Aisea Halo,9,Moana Pasifika,2024,16,95,45,47,0,1,2,213,0,0,0,6,1,0,31,9,4,16,17,1,4,3,8,2
556cd2e5-ab10-4cd9-99b5-c6d84d867187,Ajay Faleafaga,11,Highlanders,2024,13,13,7,6,0,0,0,32,0,0,0,1,0,0,2,0,0,4,20,1,1,0,2,0
556cd2e5-ab10-4cd9-99b5-c6d84d867187,Ajay Faleafaga,10,Highlanders,2024,62,165,87,78,2,0,0,354,1,2,0,14,0,0,14,7,2,32,131,7,8,1,21,1
8b00b677-2e4e-482d-b32f-82298eb241ad,Akira Ioane,8,Blues,2024,66,71,40,30,0,0,0,158,0,0,0,10,1,0,21,0,1,22,109,11,3,1,19,1
8b00b677-2e4e-482d-b32f-82298eb241ad,Akira Ioane,6,Blues,2024,177,232,132,98,0,7,3,526,1,0,4,20,1,0,56,5,8,100,263,31,4,14,81,2
184f9f0b-f5f7-4329-91ce-263b1d0445a1,Alamanda Motuga,7,Moana Pasifika,2024,23,50,22,27,0,0,0,103,0,0,0,2,0,0,30,8,0,13,22,4,2,1,12,0
184f9f0b-f5f7-4329-91ce-263b1d0445a1,Alamanda Motuga,8,Moana Pasifika,2024,21,30,14,15,0,9,2,57,1,0,0,4,0,0,13,0,3,14,23,6,0,1,9,0
6f142285-55bc-455c-a262-5fc5fbecef25,Alex Hodgman,1,Reds,2024,32,144,78,65,0,14,2,323,0,1,0,1,0,0,49,7,0,29,45,7,0,5,27,1
24ceb6c8-7e86-4fe6-971b-4e4deb65ca7f,Alex Mafi,16,Melbourne Rebels,2024,,0,0,0,,,,0,,,,,,,,,,,,,,,,
24ceb6c8-7e86-4fe6-971b-4e4deb65ca7f,Alex Mafi,2,Melbourne Rebels,2024,81,117,60,59,0,0,0,274,0,2,0,4,0,0,42,7,1,21,114,7,2,3,15,1
2c11a907-3971-4295-aa26-70ea6b829db1,Allan Alaalatoa,3,ACT Brumbies,2024,29,136,66,70,0,28,4,332,2,0,1,0,0,0,46,4,0,18,16,9,1,7,16,0
e8320d02-9383-4b85-9df0-6f71d6de0691,Allan Craig,5,Moana Pasifika,2024,83,348,166,179,0,4,2,808,1,0,0,2,1,0,153,12,1,65,60,12,10,2,55,4
e8320d02-9383-4b85-9df0-6f71d6de0691,Allan Craig,4,Moana Pasifika,2024,3,9,6,2,0,0,0,19,0,0,0,0,0,0,1,0,0,3,3,1,0,0,3,0
eb0d16d6-3e87-40f2-81a4-9559b7e7cb5e,Andrew Kellaway,14,Melbourne Rebels,2024,19,30,13,17,1,3,1,79,1,2,1,3,0,0,9,2,0,7,104,1,1,0,2,0
eb0d16d6-3e87-40f2-81a4-9559b7e7cb5e,Andrew Kellaway,15,Melbourne Rebels,2024,344,293,145,147,1,5,1,668,4,7,0,36,0,0,35,10,12,91,558,31,9,1,52,2
eb0d16d6-3e87-40f2-81a4-9559b7e7cb5e,Andrew Kellaway,11,Melbourne Rebels,2024,25,33,17,17,1,0,0,79,1,1,0,5,0,0,0,0,1,8,40,5,0,1,5,0
2c858c1f-02d0-4d9f-bc5e-5644772710a1,Andy Muirhead,11,ACT Brumbies,2024,5,18,12,7,0,0,0,35,0,0,1,1,0,0,1,0,0,3,27,2,3,0,2,0
2c858c1f-02d0-4d9f-bc5e-5644772710a1,Andy Muirhead,14,ACT Brumbies,2024,108,311,149,164,0,8,7,710,1,3,0,14,4,2,58,26,7,51,269,14,10,1,35,0
73615c9f-8c6c-4124-81ae-a7b21059abbf,Angelo Smith,4,Melbourne Rebels,2024,103,193,96,99,0,15,1,464,2,1,1,11,0,0,64,12,5,49,94,15,4,1,37,2
73615c9f-8c6c-4124-81ae-a7b21059abbf,Angelo Smith,6,Melbourne Rebels,2024,25,33,17,16,1,0,0,80,1,1,0,3,1,0,11,6,2,6,33,2,2,0,2,0
cb76e89e-df60-4dc0-9c9d-ed21797d5ba0,Angus Bell,1,NSW Waratahs,2024,85,130,63,67,0,0,0,317,0,0,1,10,0,0,46,3,2,45,78,21,3,6,40,1
617b8d62-dac2-4bb0-b14c-cf298b4800b9,Angus Blyth,4,Reds,2024,0,2,1,2,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
617b8d62-dac2-4bb0-b14c-cf298b4800b9,Angus Blyth,5,Reds,2024,25,97,44,51,0,0,0,225,0,0,0,0,0,0,41,5,0,16,18,2,2,1,16,0
