fixture_mid,fixture_teams,player_mid,player_name,position_id,team_name,fixture_year,total_carry_metres_post_contact,total_ballinplay_minutes,total_att_minutes,total_def_minutes,total_kick_errors,total_ruck_arrivals_attack_first2,total_ruck_arrivals_defence_first2,total_minutes_played,total_tries,total_linebreaks,total_supported_breaks,total_defenders_beaten,total_jackals_success,total_intercepts,total_tackles_made,total_tackles_missed,total_offloads,total_carries,total_carry_metres,total_carries_dominant,total_turnovers_conceded,total_penalties_conceded,total_rucks_won,total_rucks_lost
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,47543c89-a604-4ca1-ba0a-e48d169a303b,Ricky Riccitelli,2,Blues,2024,10,16,10,7,0,0,0,32,1,0,0,1,0,0,5,3,0,11,16,9,0,1,8,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,2479c601-768e-4b8a-91a2-8f386c56ca4f,Tyrel Lomax,3,Hurricanes,2024,1,27,11,16,0,0,0,60,0,0,0,0,0,0,10,3,0,3,0,1,1,1,3,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,6e80d3db-2dc8-4be0-ae1e-251d060bb3b0,Devan Flanders,6,Hurricanes,2024,1,13,6,7,0,0,0,26,0,0,0,0,0,0,6,1,0,2,8,1,0,0,2,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,3e7f2081-6846-45a2-a33c-f6b82a178273,Billy Proctor,13,Hurricanes,2024,16,39,17,22,0,0,0,80,0,0,0,1,0,0,19,1,0,9,28,6,1,0,9,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,8d95c8a9-644e-4173-9628-db6576dfa8a5,TJ Perenara,9,Hurricanes,2024,0,8,3,5,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,43fd0983-a295-4e56-9fd2-16f39e8c3b39,Peter Lakai,7,Hurricanes,2024,19,39,17,22,0,0,0,80,0,1,0,2,1,0,14,4,0,11,29,8,1,0,10,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,a88e066b-02a3-4b0c-86fc-c0827ef17d37,Ruben Love,15,Hurricanes,2024,17,39,17,22,0,0,0,80,0,3,1,2,0,0,7,2,1,9,72,1,1,0,5,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,14178688-d311-43d6-ac44-ec01fc74ec8f,Harry Plummer,12,Blues,2024,22,39,22,17,0,0,0,80,0,1,0,1,0,0,5,0,0,5,26,2,2,0,2,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,505688ce-c324-4960-a492-8967e664fe90,Cam Roigard,9,Hurricanes,2024,61,31,14,17,0,0,0,70,0,1,0,8,0,0,12,3,1,9,64,1,2,0,5,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,8b00b677-2e4e-482d-b32f-82298eb241ad,Akira Ioane,8,Blues,2024,19,29,17,12,0,0,0,65,0,0,0,3,0,0,8,0,0,7,28,6,1,0,7,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,1021bc2d-5ca5-4736-86a0-e27b837131f4,Finlay Christie,9,Blues,2024,3,39,22,17,0,0,0,80,0,0,1,2,0,0,11,2,2,6,25,2,1,0,1,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,605cbd31-6e8a-45cd-9de9-05c2e78b419a,James O'Reilly,2,Hurricanes,2024,2,7,3,4,0,0,0,9,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,2870a681-acb8-461a-967c-20c8fe6de4df,Jordan Lay,1,Blues,2024,0,1,1,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,63da89e9-b250-4d45-a78f-e37ea292b35d,Kurt Eklund,2,Blues,2024,2,22,12,10,0,0,0,48,1,0,0,0,0,0,12,0,0,5,3,1,0,1,3,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,adb9bff1-55f1-4c64-ac81-bd054d89def5,Josh Fusitu'a,1,Blues,2024,6,21,11,9,0,0,0,40,0,0,0,0,0,0,5,1,0,8,6,4,1,1,9,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,9bea129c-32b2-4b1c-b561-d4fcc1e4d064,Hoskins Sotutu,8,Blues,2024,6,16,10,7,0,0,0,32,0,0,0,0,1,0,3,1,0,4,33,3,0,0,3,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,fb1dbe25-668a-4c8f-977c-c64a47578899,Cole Forbes,15,Blues,2024,12,30,18,12,0,0,0,65,0,0,0,2,0,0,4,1,0,8,33,2,2,0,4,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,c983519a-4a56-4fc6-bfa3-b1396fa2f644,Anton Segner,6,Blues,2024,12,22,12,10,0,0,0,48,0,0,0,3,1,0,5,0,0,7,29,6,2,0,8,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,7765e8a1-a7de-4634-a0fc-f47195f00e70,Rieko Ioane,13,Blues,2024,18,39,22,17,0,0,0,80,0,0,0,1,0,0,8,4,1,14,41,9,1,0,11,1
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,cd1b2fff-50eb-4735-8b57-49a381fcbf15,AJ Lam,11,Blues,2024,21,9,4,5,0,0,0,15,0,0,1,2,0,0,2,0,1,2,20,1,0,0,1,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,1deb0a83-97ec-46f8-a4aa-39f17ea4f42c,Pasilio Tosi,3,Hurricanes,2024,2,12,6,6,0,0,0,20,0,1,0,0,0,0,7,0,0,2,22,1,0,1,2,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,3f4ec460-2905-4fec-b3b9-1c0c3305d1d3,Salesi Rayasi,12,Hurricanes,2024,1,8,3,5,0,0,0,10,0,0,0,0,0,0,2,0,1,2,1,1,0,0,1,0
01506546-a187-47f0-860d-db4b999d6eb4,2024-03-09 Hurricanes v Blues,c2e3fd39-b3d3-43df-9d88-1ab5ae19433b,Kini Naholo,11,Hurricanes,2024,24,31,14,17,0,0,0,70,1,1,1,4,0,0,6,2,1,7,27,3,1,0,4,0
